"Copyright 2025 Quantec EasyData"
"Download Date: 2025-11-14"
"Data Set: RGVA—Regional Output and GVA at basic prices by industry and 2016 local municipal/ward-based metro region level"
"Source: Quantec"
"Frequency: Annual"
"","","","","",""
"Concept","","","","Output at basic prices","Gross value added at basic prices"
"Unit","Date","Geography","Industry","",""
"R millions current prices","2019","P1: Western Cape","I030929: Electrical machinery [QSIC 361-366]",5867.895,1569.417
"R millions current prices","2019","P1: Western Cape","I031030: Radio, television and communication apparatus [QSIC 371-373]",2378.139,166.537
"R millions current prices","2019","P1: Western Cape","I031031: Professional equipment [QSIC 374-376]",2187.351,986.323
"R millions current prices","2019","P1: Western Cape","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",30208.728,5205.738
"R millions current prices","2019","P1: Western Cape","I031133: Other transport equipment [QSIC 384-387]",5403.098,2047.118
"R millions current prices","2019","P1: Western Cape","I031234: Furniture [QSIC 391]",2611.546,629.196
"R millions current prices","2019","P1: Western Cape","I031235: Other manufacturing groups [QSIC 392, 395]",37209.895,10978.222
"R millions current prices","2019","P1: Western Cape","I041336: Electricity and gas [QSIC 41]",35145.0,14624.965
"R millions current prices","2019","P1: Western Cape","I041337: Water [QSIC 42]",5507.67,3182.895
"R millions current prices","2019","P1: Western Cape","I051438: Construction [QSIC 5]",96317.106,33125.075
"R millions current prices","2019","P1: Western Cape","I061539: Wholesale and retail trade [QSIC 61-63]",159092.967,95640.799
"R millions current prices","2019","P1: Western Cape","I061640: Catering and accommodation services [QSIC 64]",27675.1,11306.318
"R millions current prices","2019","P1: Western Cape","I071741: Transport and storage [QSIC 71-74]",119629.141,48851.332
"R millions current prices","2019","P1: Western Cape","I071842: Communication [QSIC 75]",70764.391,23476.642
"R millions current prices","2019","P1: Western Cape","I081943: Finance and insurance [QSIC 81-82]",96324.825,48717.651
"R millions current prices","2019","P1: Western Cape","I082044: Professional business services [QSIC 831-883]",241380.865,140354.007
"R millions current prices","2019","P1: Western Cape","I082045: Business activities n.e.c. [QSIC 889]",41747.182,22203.434
"R millions current prices","2019","P1: Western Cape","I092146: National and Provincial government [QSIC 911]",47015.829,28815.364
"R millions current prices","2019","P1: Western Cape","I092147: Local government [QSIC 913]",18908.963,13956.177
"R millions current prices","2019","P1: Western Cape","I102248: Education (Private) [QSIC 92]",39034.556,30340.116
"R millions current prices","2019","P1: Western Cape","I102249: Health and social work (Private) [QSIC 93]",51619.243,32044.456
"R millions current prices","2019","P1: Western Cape","I102250: Other community, social and personal services [QSIC 94-96, 99]",33958.531,22883.876
"R millions current prices","2019","P1D01: West Coast (DC1)","I010101: Agriculture [QSIC 11]",13167.058,3579.983
"R millions current prices","2019","P1D01: West Coast (DC1)","I010102: Forestry [QSIC 12]",127.989,38.937
"R millions current prices","2019","P1D01: West Coast (DC1)","I010103: Fishing [QSIC 13]",5356.191,2688.403
"R millions current prices","2019","P1D01: West Coast (DC1)","I020204: Coal [QSIC 21]",0.0,0.0
"R millions current prices","2019","P1D01: West Coast (DC1)","I020205: Gold [QSIC 23]",0.0,0.0
"R millions current prices","2019","P1D01: West Coast (DC1)","I020206: Metals [QSIC 24]",230.52,94.872
"R millions current prices","2019","P1D01: West Coast (DC1)","I020207: Other mining and quarrying [22, 25-29]",990.838,278.847
"R millions current prices","2019","P1D01: West Coast (DC1)","I030308: Food [QSIC 301-304]",11559.775,2476.516
"R millions current prices","2019","P1D01: West Coast (DC1)","I030309: Beverages and tobacco [QSIC 305-306]",3747.664,1466.954
"R millions current prices","2019","P1D01: West Coast (DC1)","I030410: Textiles [QSIC 311-312]",222.905,89.787
"R millions current prices","2019","P1D01: West Coast (DC1)","I030411: Wearing apparel [QSIC 313-315]",187.474,60.265
"R millions current prices","2019","P1D01: West Coast (DC1)","I030412: Leather and leather products [QSIC 316]",12.989,2.623
"R millions current prices","2019","P1D01: West Coast (DC1)","I030413: Footwear [QSIC 317]",24.362,6.187
"R millions current prices","2019","P1D01: West Coast (DC1)","I030514: Wood and wood products [QSIC 321-322]",300.151,91.428
"R millions current prices","2019","P1D01: West Coast (DC1)","I030515: Paper and paper products [QSIC 323]",383.444,134.007
"R millions current prices","2019","P1D01: West Coast (DC1)","I030516: Printing , recorded media [QSIC 324-326]",265.508,89.699
"R millions current prices","2019","P1D01: West Coast (DC1)","I030617: Coke, petroleum products and nuclear fuel [QSIC 331-333]",861.661,181.376
"R millions current prices","2019","P1D01: West Coast (DC1)","I030618: Basic chemicals [QSIC 334]",369.232,73.247
"R millions current prices","2019","P1D01: West Coast (DC1)","I030619: Other chemical products [QSIC 335-336]",533.752,162.449
"R millions current prices","2019","P1D01: West Coast (DC1)","I030620: Rubber products [QSIC 337]",74.283,15.963
"R millions current prices","2019","P1D01: West Coast (DC1)","I030621: Plastic products [QSIC 338]",116.183,32.905
"R millions current prices","2019","P1D01: West Coast (DC1)","I030722: Glass and glass products [QSIC 341]",34.409,11.182
"R millions current prices","2019","P1D01: West Coast (DC1)","I030723: Non-metallic mineral products [QSIC 342]",818.06,228.779
"R millions current prices","2019","P1D01: West Coast (DC1)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",928.303,194.439
"R millions current prices","2019","P1D01: West Coast (DC1)","I030825: Non-ferrous metal products [QSIC 352]",346.043,53.731
"R millions current prices","2019","P1D01: West Coast (DC1)","I030826: Structural metal products [QSIC 354]",203.367,61.041
"R millions current prices","2019","P1D01: West Coast (DC1)","I030827: Other fabricated metal products [QSIC 355]",561.708,182.79
"R millions current prices","2019","P1D01: West Coast (DC1)","I030828: Machinery and equipment [QSIC 356-359]",573.715,181.572
"R millions current prices","2019","P1D01: West Coast (DC1)","I030929: Electrical machinery [QSIC 361-366]",31.466,7.395
"R millions current prices","2019","P1D01: West Coast (DC1)","I031030: Radio, television and communication apparatus [QSIC 371-373]",62.268,4.012
"R millions current prices","2019","P1D01: West Coast (DC1)","I031031: Professional equipment [QSIC 374-376]",43.032,18.317
"R millions current prices","2019","P1D01: West Coast (DC1)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",690.162,111.878
"R millions current prices","2019","P1D01: West Coast (DC1)","I031133: Other transport equipment [QSIC 384-387]",151.528,56.695
"R millions current prices","2019","P1D01: West Coast (DC1)","I031234: Furniture [QSIC 391]",56.712,13.478
"R millions current prices","2019","P1D01: West Coast (DC1)","I031235: Other manufacturing groups [QSIC 392, 395]",962.679,278.584
"R millions current prices","2019","P1D01: West Coast (DC1)","I041336: Electricity and gas [QSIC 41]",1259.13,506.258
"R millions current prices","2019","P1D01: West Coast (DC1)","I041337: Water [QSIC 42]",247.771,140.156
"R millions current prices","2019","P1D01: West Coast (DC1)","I051438: Construction [QSIC 5]",4306.924,1454.786
"R millions current prices","2019","P1D01: West Coast (DC1)","I061539: Wholesale and retail trade [QSIC 61-63]",7369.648,4341.688
"R millions current prices","2019","P1D01: West Coast (DC1)","I061640: Catering and accommodation services [QSIC 64]",1247.266,508.822
"R millions current prices","2019","P1D01: West Coast (DC1)","I071741: Transport and storage [QSIC 71-74]",4380.178,1953.842
"R millions current prices","2019","P1D01: West Coast (DC1)","I071842: Communication [QSIC 75]",1396.092,454.934
"R millions current prices","2019","P1D01: West Coast (DC1)","I081943: Finance and insurance [QSIC 81-82]",2001.993,1081.921
"R millions current prices","2019","P1D01: West Coast (DC1)","I082044: Professional business services [QSIC 831-883]",5389.918,3060.432
